Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703064,DICLO_MZ_6h_P18_C3_D2,4007964,0.5176,961.2305,3.021787174,0.906536152,9.065361522,cells,6,2,320,IC50,160
Diclofenac,14703065,DICLO_MZ_6h_P18_D3_D3,8517067,1.1056,2075.5288,6.524768312,1.957430494,19.57430494,cells,6,3,1000,IC85,500
Diclofenac,14703066,DICLO_MZ_48h_P02_A2_VC,29629,0.0036,7.3755,0.023186105,0.006955831,0.069558315,cells,48,C,0,Control,0
Diclofenac,14703067,DICLO_MZ_48h_P02_B2_D1,490802,0.063,116.6104,0.366584093,0.109975228,1.099752279,cells,48,1,50,IC01,25
Diclofenac,14703068,DICLO_MZ_48h_P02_C2_D2,3575018,0.4568,847.5528,2.664422509,0.799326753,7.993267526,cells,48,2,320,IC50,160
Diclofenac,14703069,DICLO_MZ_48h_P02_D2_D3,3198243,0.4106,761.1426,2.392777743,0.717833323,7.178333229,cells,48,3,1000,IC85,500
Diclofenac,14703070,DICLO_MZ_24h_P10_A2_VC,26056,0.0033,6.6778,0.02099277,0.006297831,0.062978309,cells,24,C,0,Control,0
Diclofenac,14703071,DICLO_MZ_24h_P10_B2_D1,457142,0.0575,106.5693,0.335018233,0.10050547,1.0050547,cells,24,1,50,IC01,25
Diclofenac,14703072,DICLO_MZ_24h_P10_C2_D2,3274161,0.4082,756.7178,2.378867652,0.713660296,7.136602955,cells,24,2,320,IC50,160
Diclofenac,14703073,DICLO_MZ_24h_P10_D2_D3,5593170,0.72,1341.9207,4.218549827,1.265564948,12.65564948,cells,24,3,1000,IC85,500
Diclofenac,14703074,DICLO_MZ_6h_P18_A2_VC,29087,0.0036,7.2943,0.022930839,0.006879252,0.068792518,cells,6,C,0,Control,0
Diclofenac,14703075,DICLO_MZ_6h_P18_B2_D1,420929,0.0516,95.579,0.300468406,0.090140522,0.901405218,cells,6,1,50,IC01,25
Diclofenac,14703076,DICLO_MZ_6h_P18_C2_D2,4096591,0.5304,985.3153,3.097501729,0.929250519,9.292505187,cells,6,2,320,IC50,160
